t,goodput,throttled,offered,type,name
116.249662, 10, 67, 83, client, client_0_150.00
116.249662, 151, 0, 151, client, client_1_150.00
116.249662, 35, 67, 83, client, client_2_150.00
116.249662, 5, 0, 10, client, client_3_10.00
117.250759, 184, 8, 192, server, server
117.250759, 16, 129, 21, client, client_0_150.00
117.250759, 124, 25, 125, client, client_1_150.00
117.250759, 34, 115, 36, client, client_2_150.00
117.250759, 10, 0, 10, client, client_3_10.00
118.254276, 214, 6, 220, server, server
118.254276, 52, 96, 55, client, client_0_150.00
118.254276, 104, 46, 104, client, client_1_150.00
118.254276, 49, 99, 51, client, client_2_150.00
118.254276, 9, 0, 10, client, client_3_10.00
119.256328, 201, 6, 207, server, server
119.256328, 42, 107, 43, client, client_0_150.00
119.256328, 97, 52, 99, client, client_1_150.00
119.256328, 53, 95, 55, client, client_2_150.00
119.256328, 9, 0, 10, client, client_3_10.00
120.257426, 203, 55, 258, server, server
120.257426, 42, 77, 73, client, client_0_150.00
120.257426, 108, 42, 108, client, client_1_150.00
120.257426, 46, 84, 67, client, client_2_150.00
120.257426, 7, 0, 10, client, client_3_10.00
121.260943, 200, 261, 461, server, server
121.260943, 0, 0, 151, client, client_0_150.00
121.260943, 150, 0, 150, client, client_1_150.00
121.260943, 50, 0, 150, client, client_2_150.00
121.260943, 0, 0, 10, client, client_3_10.00
122.262995, 146, 29, 175, server, server
122.262995, 44, 86, 64, client, client_0_150.00
122.262995, 47, 104, 47, client, client_1_150.00
122.262995, 54, 88, 62, client, client_2_150.00
