t,goodput,throttled,offered,type,name
93.201250, 5, 144, 6, client, client_0_150.00
93.201250, 125, 26, 125, client, client_1_150.00
93.201250, 64, 83, 67, client, client_2_150.00
93.201250, 10, 0, 10, client, client_3_10.00
94.201769, 202, 6, 208, server, server
94.201769, 8, 142, 8, client, client_0_150.00
94.201769, 128, 22, 128, client, client_1_150.00
94.201769, 57, 89, 62, client, client_2_150.00
94.201769, 9, 0, 10, client, client_3_10.00
95.203503, 204, 4, 208, server, server
95.203503, 24, 126, 25, client, client_0_150.00
95.203503, 120, 30, 120, client, client_1_150.00
95.203503, 50, 97, 53, client, client_2_150.00
95.203503, 10, 0, 10, client, client_3_10.00
96.207916, 203, 6, 209, server, server
96.207916, 25, 123, 27, client, client_0_150.00
96.207916, 119, 32, 119, client, client_1_150.00
96.207916, 51, 97, 53, client, client_2_150.00
96.207916, 8, 0, 10, client, client_3_10.00
97.208435, 193, 4, 197, server, server
97.208435, 11, 138, 12, client, client_0_150.00
97.208435, 118, 32, 118, client, client_1_150.00
97.208435, 54, 94, 57, client, client_2_150.00
97.208435, 10, 0, 10, client, client_3_10.00
98.210169, 195, 6, 201, server, server
98.210169, 13, 137, 14, client, client_0_150.00
98.210169, 120, 30, 120, client, client_1_150.00
98.210169, 52, 93, 57, client, client_2_150.00
98.210169, 10, 0, 10, client, client_3_10.00
99.214583, 201, 6, 207, server, server
99.214583, 11, 137, 13, client, client_0_150.00
99.214583, 128, 23, 128, client, client_1_150.00
99.214583, 52, 94, 56, client, client_2_150.00
99.214583, 10, 0, 10, client, client_3_10.00
100.215101, 196, 6, 202, server, server
100.215101, 23, 127, 23, client, client_0_150.00
100.215101, 119, 30, 120, client, client_1_150.00
100.215101, 44, 102, 49, client, client_2_150.00
100.215101, 10, 0, 10, client, client_3_10.00
101.216836, 199, 4, 203, server, server
101.216836, 16, 134, 17, client, client_0_150.00
101.216836, 112, 38, 112, client, client_1_150.00
101.216836, 61, 86, 64, client, client_2_150.00
101.216836, 10, 0, 10, client, client_3_10.00
102.221249, 218, 6, 224, server, server
102.221249, 17, 131, 19, client, client_0_150.00
102.221249, 132, 19, 132, client, client_1_150.00
102.221249, 59, 87, 63, client, client_2_150.00
102.221249, 10, 0, 10, client, client_3_10.00
103.221768, 194, 4, 198, server, server
103.221768, 23, 126, 24, client, client_0_150.00
103.221768, 113, 36, 114, client, client_1_150.00
103.221768, 49, 101, 50, client, client_2_150.00
103.221768, 9, 0, 10, client, client_3_10.00
104.223502, 197, 5, 202, server, server
104.223502, 26, 124, 27, client, client_0_150.00
104.223502, 112, 38, 112, client, client_1_150.00
104.223502, 49, 97, 53, client, client_2_150.00
104.223502, 10, 0, 10, client, client_3_10.00
105.227915, 190, 5, 195, server, server
105.227915, 22, 127, 23, client, client_0_150.00
105.227915, 112, 39, 112, client, client_1_150.00
105.227915, 48, 100, 50, client, client_2_150.00
105.227915, 8, 0, 10, client, client_3_10.00
106.228434, 216, 5, 221, server, server
106.228434, 12, 136, 14, client, client_0_150.00
106.228434, 129, 21, 129, client, client_1_150.00
106.228434, 65, 83, 68, client, client_2_150.00
106.228434, 10, 0, 10, client, client_3_10.00
107.230169, 193, 4, 197, server, server
107.230169, 31, 119, 32, client, client_0_150.00
107.230169, 111, 39, 111, client, client_1_150.00
107.230169, 41, 106, 44, client, client_2_150.00
107.230169, 10, 0, 10, client, client_3_10.00
108.234582, 208, 5, 213, server, server
108.234582, 21, 129, 21, client, client_0_150.00
108.234582, 120, 31, 120, client, client_1_150.00
108.234582, 57, 88, 62, client, client_2_150.00
108.234582, 10, 0, 10, client, client_3_10.00
109.235101, 194, 5, 199, server, server
109.235101, 11, 138, 12, client, client_0_150.00
109.235101, 117, 32, 118, client, client_1_150.00
109.235101, 56, 92, 59, client, client_2_150.00
109.235101, 10, 0, 10, client, client_3_10.00
110.236835, 213, 5, 218, server, server
110.236835, 19, 130, 21, client, client_0_150.00
110.236835, 123, 27, 123, client, client_1_150.00
110.236835, 61, 86, 64, client, client_2_150.00
110.236835, 10, 0, 10, client, client_3_10.00
111.241248, 198, 5, 203, server, server
111.241248, 18, 131, 19, client, client_0_150.00
111.241248, 120, 31, 120, client, client_1_150.00
111.241248, 50, 96, 54, client, client_2_150.00
111.241248, 10, 0, 10, client, client_3_10.00
112.241767, 184, 6, 190, server, server
112.241767, 7, 142, 8, client, client_0_150.00
112.241767, 116, 34, 116, client, client_1_150.00
112.241767, 51, 95, 56, client, client_2_150.00
112.241767, 10, 0, 10, client, client_3_10.00
113.243501, 217, 6, 223, server, server
113.243501, 12, 136, 15, client, client_0_150.00
113.243501, 137, 13, 137, client, client_1_150.00
113.243501, 58, 89, 61, client, client_2_150.00
113.243501, 10, 0, 10, client, client_3_10.00
114.247915, 195, 4, 199, server, server
114.247915, 19, 131, 19, client, client_0_150.00
114.247915, 118, 33, 118, client, client_1_150.00
114.247915, 48, 98, 52, client, client_2_150.00
114.247915, 10, 0, 10, client, client_3_10.00
115.248433, 204, 5, 209, server, server
115.248433, 28, 120, 30, client, client_0_150.00
